Seed,Model,Train R²,Test R²,Train MSE,Test MSE,Train MAE,Test MAE,Predictions,Training_History
42,Linear Regression,0.5996123378385849,0.6372463455091533,0.40038766216141525,0.311346285767715,0.4361872542728607,0.4096981280531633,,
42,Ridge Regression,0.5995583813154219,0.6389600711404787,0.40044161868457817,0.3099684407698249,0.43597745148542527,0.40796840182690103,,
42,Lasso Regression,0.5704491014222873,0.5993409455528462,0.42955089857771284,0.34550937164140905,0.4506206997859153,0.42903719233633053,,
42,Elastic Net,0.5844664181183552,0.6224235498985174,0.4155335818816451,0.32544669834475864,0.4416505334817434,0.414433970519621,,
42,Random Forest,0.9497473635535298,0.6069164434440057,0.05025263644647025,0.33736728351810036,0.15371911410973216,0.3719059031679997,,
42,Extra Trees,1.0,0.588488915907455,1.680721033875564e-30,0.35352555445082795,9.381734702062867e-16,0.3724089874245381,,
42,Gradient Boosting,0.9821934178622849,0.6137881951849862,0.01780658213771507,0.330129438652547,0.09572619409056615,0.38007192249043864,,
42,Support Vector Regression,0.7915965858925955,0.6787032333633638,0.20840341410740465,0.27796426664370766,0.29259077890842367,0.34459506822928865,,
42,K-Nearest Neighbors,0.7183374512253166,0.735693508114948,0.2816625487746836,0.22869408336513602,0.3626074541672072,0.32467609242943896,,
42,Decision Tree,1.0,0.3853479886546849,7.09752543439755e-33,0.5286321587520408,2.0702929352641237e-17,0.4650712518260173,,
42,TabNet,0.7711684245095142,0.7390975787719416,0.22883157549048594,0.22525571648246132,0.32374081675457955,0.323383567189481,,
