Dataset,Arm,N_seeds,Params,Train R2 Mean,Test R2 Mean,Test R2 Std,viol_haa5 Mean,viol_haa9 Mean,viol_nonneg Mean,Delta vs mlp,p_vs_mlp,Delta vs mlp_hier,p_vs_mlp_hier
ontario,mlp,10,4932,0.6085852647483707,0.49996876673195023,0.09369946387433131,0.19622641652822495,,0.049056604504585266,,,,
ontario,mlp_hier,10,4932,0.6081791994653728,0.49995072783154304,0.09510736386020757,0.07547169923782349,,0.05094339698553085,-1.8038900407080227e-05,0.9824411498528052,,
ontario,explainable,10,134985,0.7178224979311821,0.5727471643696711,0.09271728394116072,0.0584905669093132,,0.06603773683309555,0.07277839763772075,0.0899717142899946,0.07279643653812783,0.09116061775222094
original,mlp,10,5061,0.695906679665269,0.32147885868550363,0.15470159999810018,0.30500000417232515,0.2649999987334013,0.0,,,,
original,mlp_hier,10,5061,0.7068825766437532,0.3179734544629476,0.15013594397610616,0.14500000178813935,0.07000000178813934,0.0,-0.0035054042225560085,0.7274653317355383,,
original,explainable,10,177466,0.6999251749780278,0.2907869910841911,0.17182346393355222,0.030000000819563867,0.12500000186264515,0.010000000149011612,-0.03069186760131253,0.3129239302811197,-0.02718646337875652,0.30862960399471023
