Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Best epoch,Train-Test gap,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,123,wd_1e-3,0.6116117096365977,0.4156107057886131,0.10123621369050081,0.5546630953008043,0.5477274063786562,0.020821671794180374,0.1352414167912106,0.06474260083022032,0.07223648009397865,0.21313889894291393,177466,30,0.5103754959460969,,,,
original,123,dropout_0.3,0.607806335990883,0.4343346345378736,0.11914093949427411,0.543667108125583,0.5533091124278255,0.025137943362550264,0.14800619707610774,0.06816250073841257,0.12309335673074873,0.23130469956355104,177466,35,0.48866539649660884,,,,
original,123,dropout_0.5,0.7125788385533145,0.4285536409452265,0.12460082021526434,0.5417437264105082,0.5941559524249808,0.10023802152722905,0.2060835328067182,-0.024302200405919683,0.15152223304147105,0.18946251410682302,177466,71,0.5879780183380502,,,,
original,123,capacity_16,0.5214052470899242,0.27975942175694213,0.08090820156730841,0.5688551749676305,0.5581484691715316,0.04575047100863716,0.1312331397493629,0.031236386266726313,0.12214063214915472,0.0741803786626608,44930,39,0.4404970455226158,,,,
original,123,capacity_8,0.609728346299937,0.43040017759477533,0.05375770219991427,0.583409593531514,0.5746602405277235,-0.10821319189347389,0.1289606616787835,-0.017373797265413105,0.12231960623057259,0.14309523224910248,11518,95,0.5559706441000227,,,,
original,123,strong_reg,0.4927606844102357,0.31179985174328373,0.09774368184724905,0.5581028704746112,0.5541971184771752,0.05312828171127437,0.1468371897635028,0.025330378569447087,0.12656261145127035,0.1368599477407505,44930,43,0.39501700256298666,,,,
original,456,default,0.6234145717471483,0.30365322526161875,0.5057982550329709,0.46684844652168156,0.5345505948209421,0.5797260697305464,0.6107523539008172,0.16937346737052728,0.6002961396835692,0.5688432444793949,177466,29,0.11761631671417738,,,,
original,456,wd_1e-4,0.6225194882760197,0.30391694628870597,0.5033006824134355,0.4692548070619543,0.5359767578759449,0.5767911475001669,0.6098978646361585,0.16496349001716804,0.5982530037702742,0.5665979061434099,177466,29,0.11921880586258415,,,,
original,456,wd_1e-3,0.6098235146163524,0.3343587554993849,0.4953865954528287,0.4761847072687194,0.5388452163183348,0.567942723334937,0.5970748627732279,0.1557985297545279,0.6010970588646891,0.5550198025367615,177466,30,0.11443691916352372,,,,
original,456,dropout_0.3,0.5948371728036194,0.4256758155546806,0.49492803771212673,0.47718533330946383,0.5292935084023731,0.5630954066435572,0.6030023818229029,0.1512799073264971,0.5976233702685085,0.5596391224991681,177466,36,0.09990913509149263,,,,
original,456,dropout_0.5,0.5277046756428171,0.3803479691257546,0.4026876314833884,0.552470798530312,0.5793556263762272,0.3988736699540594,0.5262193812721332,0.0943947921961783,0.5095990411967057,0.48435127279786516,177466,47,0.12501704415942871,,,,
original,456,capacity_16,0.5825590084144808,0.31414792992429996,0.45284132023736934,0.512719609752853,0.5436073155983026,0.5008630897597379,0.5649488726523788,0.11420719675394309,0.5418937361434053,0.5422937058773813,44930,49,0.1297176881771115,,,,
original,456,capacity_8,0.5683960452523757,0.09410742258767782,0.46789634648283807,0.49101754570871226,0.5483735279066438,0.4383111298157608,0.6204535807414551,0.20679409668771664,0.524130931881974,0.5497919932872837,11518,121,0.10049969876953768,,,,
original,456,strong_reg,0.5392499163561998,0.386000531148239,0.39008814840701467,0.5626556796389377,0.5765457329601029,0.4074381895127044,0.5253477564436064,0.08514586766729604,0.4557414899358916,0.4767674384755747,44930,58,0.14916176794918512,,,,
original,789,default,0.9542538960633167,0.4870550761413922,0.3849068785343779,0.7999233824789139,0.4759994972279449,0.4914602440344512,0.39769684625641044,0.04351843630933416,0.4810943278133447,0.5107645382583486,177466,217,0.5693470175289388,,,,
original,789,wd_1e-4,0.8942627043241556,0.4610350546831608,0.3670367257459241,0.8090342199171336,0.49369396931108184,0.46121866126520494,0.38318656590405464,0.04790552251178193,0.4559287044384026,0.4869441746101765,177466,108,0.5272259785782314,,,,
original,789,wd_1e-3,0.8748675514821652,0.3785525199214054,0.37620638662696104,0.7753796937801806,0.48555359246822727,0.46496356619172763,0.3698678221589463,0.11095080828116899,0.44802140587435635,0.48722833062860593,177466,108,0.4986611648552042,,,,
original,789,dropout_0.3,0.5850541662321511,0.15339603209667213,0.31080603500286985,0.8394093339991461,0.6093778526352992,0.4155210960615666,0.32399668987982144,0.05828683938946633,0.3903189033442417,0.3659066463392533,177466,33,0.27424813122928127,,,,
original,789,dropout_0.5,0.6477727366004433,0.3220127022577301,0.3662422337922943,0.7895474503120672,0.5753895634452147,0.5053668384908554,0.3672982458442877,0.0935718476835744,0.4378883942844989,0.4270858426582551,177466,65,0.281530502808149,,,,
original,789,capacity_16,0.5765324458319497,0.3042647861965565,0.29192749232928933,0.8839171315795177,0.6146120886081988,0.4507627597336117,0.23520736617519844,-0.01939933587457321,0.34848161086632057,0.44458506074588944,44930,47,0.2846049535026604,,,,
original,789,capacity_8,0.48928186959386755,0.32291658151171887,0.19257300434000874,0.9306114488132964,0.6378753375321233,0.196421770605545,0.3091590315718753,0.021113505671754296,0.325617497370171,0.11055321648069838,11518,80,0.2967088652538588,,,,
original,789,strong_reg,0.5477573109327608,0.27137362379350743,0.2560348964830902,0.9094232678835006,0.6342181375131651,0.40735432797659055,0.21965572133477373,-0.02606599901330431,0.3144969479565167,0.3647334841608745,44930,55,0.2917224144496706,,,,
original,1024,default,0.7189195520598461,0.1590482256001641,0.2507466715696788,0.6602968268973657,0.6670120198029423,0.31992590945745447,0.4000213427486743,-0.288289065623061,0.411095527680608,0.4109796435847175,177466,37,0.46817288049016736,,,,
original,1024,wd_1e-4,0.7161488204327547,0.17879030011401165,0.24782622646966646,0.6616406349315149,0.6683133609249585,0.3262114504254373,0.3999552988406365,-0.31049040253114524,0.41021648909454556,0.41323829651885746,177466,37,0.4683225939630883,,,,
original,1024,wd_1e-3,0.694447796761045,0.2405441350642373,0.2648289594459852,0.6449976114601322,0.6727389250538642,0.3507645076016134,0.41814554218612754,-0.30229072353651043,0.42356908696882845,0.43395638400986636,177466,38,0.42961883731505973,,,,
original,1024,dropout_0.3,0.6396201889231772,0.26884110939692774,0.2696634041928222,0.6375591424525527,0.6652104805416836,0.31402340450833355,0.4278029691592601,-0.30280772368697906,0.4584979581990656,0.4508004127844306,177466,34,0.369956784730355,,,,
original,1024,dropout_0.5,0.583856656072775,0.4946529044044202,0.30515864878319576,0.6005917159053661,0.6384655140888275,0.39734658109611554,0.4655438169411005,-0.32709778136050205,0.49458102252701563,0.49541960471224866,177466,48,0.2786980072895793,,,,
original,1024,capacity_16,0.7834166594637735,0.16615443033925498,0.3499753895884478,0.5772231319283262,0.6236182730784762,0.41595038416190533,0.49259261505657126,-0.07076329608685605,0.4477899011661115,0.46430734364450665,44930,111,0.43344126987532566,,,,
original,1024,capacity_8,0.10723850756708278,-0.059664293066721164,0.04700262802969639,0.891922475163495,0.7457689784305497,0.0664406641512233,0.07674743515744498,-0.10346819168706833,0.13293155288434977,0.06236167964253114,11518,37,0.06023587953738639,,,,
original,1024,strong_reg,0.7686331611327544,0.21685405291356652,0.32869945890865293,0.6010658622286151,0.6332017824521289,0.3730821107930068,0.4520754760967588,-0.04789473631591057,0.42081588115844604,0.4454185628109627,44930,158,0.43993370222410144,,,,
original,2025,default,0.9657053113959172,0.3040583403571595,0.3346894798896181,0.276037018099096,0.40496765521571787,0.42016626452658334,0.5202538902237919,-0.2406534780953944,0.5108366338018393,0.4628440889912706,177466,140,0.631015831506299,,,,
original,2025,wd_1e-4,0.9889023658787661,0.30152550726965766,0.3660272380230594,0.2613915459155235,0.3843384822141274,0.4401336045300316,0.5033695297049352,-0.10006086524254787,0.5078012162079484,0.4788927049149301,177466,396,0.6228751278557068,,,,
original,2025,wd_1e-3,0.7819942327883673,0.27389123726329434,0.2928151160531362,0.29311566613352846,0.4249858155886602,0.3815640025849558,0.48903974130427974,-0.30364009932586145,0.4555205321525321,0.44159140354977466,177466,61,0.4891791167352311,,,,
original,2025,dropout_0.3,0.8182882554949437,0.31746551348943897,0.29573926200045914,0.2903056771828684,0.4424478063413345,0.40086044356559447,0.47899182306181987,-0.22500833206164583,0.43006342342142656,0.3937889520151011,177466,150,0.5225489934944845,,,,
original,2025,dropout_0.5,0.24250978827365266,0.08000184229648892,0.1163869006744505,0.3527795540355628,0.4942143889324894,0.21244587234518886,0.11466611828127382,0.043743753234044225,0.17055623008764165,0.040522529424104614,177466,18,0.12612288759920215,,,,
original,2025,capacity_16,0.726394540209691,0.3459577167126917,0.28321573405967015,0.29600532000613194,0.44546537698278776,0.3433867378640588,0.4901076277174168,-0.24360282147117585,0.44514640616769385,0.3810407200203577,44930,68,0.4431788061500208,,,,
original,2025,capacity_8,0.3391141504499261,0.02546003522592275,0.01562319867791091,0.38899493441869465,0.5241524418624273,0.23024753440175794,-0.23734354035006033,0.034002442796398524,0.08432580978371074,-0.03311625324225176,11518,55,0.3234909517720152,,,,
original,2025,strong_reg,0.7813237314826276,0.24964852090497916,0.3298286042663017,0.2794661948828601,0.42165914143970856,0.4092114886854935,0.5345838391915567,-0.31634272705064603,0.5409413013159252,0.48074911918917906,44930,175,0.4514951272163259,,,,
original,3407,default,0.785587571056974,0.2627892174310089,0.019549936902084862,1.1389826086609078,0.6850776925388024,0.0894412365036561,-0.08447185923191736,0.1249088238485414,0.02529309143240721,-0.05742160804226293,177466,40,0.7660376341548891,,,,
original,3407,wd_1e-4,0.7849541835288006,0.2624386528517451,0.030455770352674327,1.131662162371073,0.6828090406094895,0.09652647501371481,-0.06969878396646578,0.12629222985061517,0.03995013062339603,-0.040791199757888696,177466,40,0.7544984131761263,,,,
original,3407,wd_1e-3,0.7698749322699696,0.25437226427085574,0.04393162216989628,1.1306940642372694,0.6866046976133114,0.09651474578270314,-0.0603823121086835,0.11531547630385175,0.0558091575008135,0.012401043370796616,177466,40,0.7259433101000733,,,,
original,3407,dropout_0.3,0.6729280934176611,0.2509937801325411,0.23066324656843012,1.067542629548186,0.6548135559205874,0.35944932321703793,0.14623326049213314,0.03828278797979423,0.3084769168197641,0.30087394433342163,177466,33,0.442264846849231,,,,
original,3407,dropout_0.5,0.7292845765812416,0.2953276428761777,0.28103048620014776,1.0106324201826018,0.6348256834878673,0.39067864756287096,0.28104216838001694,0.0811412433377775,0.33349754707520873,0.3187928246448647,177466,78,0.4482540903810938,,,,
original,3407,capacity_16,0.6864743854349618,0.35050159576335926,0.1835481827562379,1.0754912560347363,0.6895556781987799,0.27054024286234835,0.2245254608767816,0.07043193111290202,0.14217834444212962,0.21006493448702834,44930,62,0.5029262026787238,,,,
original,3407,capacity_8,0.3801936542303908,0.13551653148823484,0.07056879530184801,1.1911494821436757,0.7240383723160045,0.07686978996874294,-0.020525960449865543,-0.004431473624292082,0.09118962247770313,0.2097419981369515,11518,80,0.3096248589285428,,,,
