,attention,permutation,shap,attention_std_across_seeds,attention_cv
environmental,0.09232014237090667,0.04593029966856964,0.12034794914400193,0.0593843881140918,0.6432441006652898
organic_matter,0.5704181559581485,0.7058994888025755,0.4707523646546639,0.1521749936780737,0.2667779577356838
disinfectant,0.08185655612592801,0.040186159341861816,0.07910486252931491,0.06692115593620586,0.8175417803361483
nitrogen_species,0.2031116930159316,0.18915373572539024,0.2742959852065645,0.10588456246179767,0.5213119875999755
halides,0.052293452529085335,0.018830316461602766,0.05549883846545485,0.026104045590608988,0.4991838139880522
