Dataset,Lambda,Test R2 mean,Test R2 std,Test R2 DCAA (ug/L) mean,Test R2 DCAA (ug/L) std,Test R2 TCAA (ug/L) mean,Test R2 TCAA (ug/L) std,Test R2 BCAA (ug/L) mean,Test R2 BCAA (ug/L) std,Test R2 HAA5 (ug/L) mean,Test R2 HAA5 (ug/L) std,Test R2 HAA9 (ug/L) mean,Test R2 HAA9 (ug/L) std,viol_haa5 mean,viol_haa5 std,viol_haa9 mean,viol_haa9 std,viol_nonneg mean,viol_nonneg std,Test R2 DCAA mean,Test R2 DCAA std,Test R2 TCAA mean,Test R2 TCAA std,Test R2 HAA5 mean,Test R2 HAA5 std,Test R2 TTHM mean,Test R2 TTHM std
ontario,0.0,0.5727987421063516,0.09905308735336879,,,,,,,,,,,0.1509433940052986,0.15760960655775655,,,0.062264151871204376,0.045396434469210746,0.5746938923363171,0.11828204827136654,0.5618243529054843,0.09187385246481432,0.629019398308333,0.11042791777671836,0.5256573248752722,0.10158337215007064
ontario,0.01,0.5723933135770439,0.09832039854545797,,,,,,,,,,,0.12641509473323823,0.1403657485133033,,,0.062264151871204376,0.04176593198307532,0.5743196967272631,0.11803104247095472,0.5610723105038821,0.0903203760204907,0.6291159653438887,0.109601935102406,0.5250652817331417,0.1007448418550869
ontario,0.05,0.5728347713869145,0.09841567279960266,,,,,,,,,,,0.06603773683309555,0.12268182071571891,,,0.06037735939025879,0.03957769297353288,0.573865670987962,0.11684386372807913,0.5623100088922499,0.08930641936365241,0.6301120621797347,0.11032251856520028,0.5250513434877112,0.10079710187731623
ontario,0.1,0.572747164369671,0.09773259857287366,,,,,,,,,,,0.0584905669093132,0.11440664914194662,,,0.06603773683309555,0.037997000483163484,0.5724352158956304,0.11382446927638737,0.5631353899686491,0.0882562303722242,0.6303695201001361,0.11004408792977777,0.5250485315142683,0.10103874763463476
ontario,0.5,0.550274599128479,0.0891953044224981,,,,,,,,,,,0.030188679695129395,0.07764175895323393,,,0.04528301954269409,0.03997546872667638,0.5606755393054843,0.10394743897114088,0.5418304195058712,0.08660980442925252,0.6047193158082911,0.10324233619998517,0.4938731218942693,0.09144358550969371
ontario,1.0,0.5386019407938876,0.11025305808199015,,,,,,,,,,,0.02075471729040146,0.059299872915451635,,,0.03396226465702057,0.04339166935265,0.5604876881580408,0.10429990531348259,0.5335520886682302,0.09354048440638668,0.5924532475707152,0.12272823206188653,0.4679147387785636,0.14492357551450388
original,0.0,0.28326421177861993,0.18795744574871046,0.3229098804753291,0.2411665874504314,0.3343899831775766,0.23964363104213887,0.007327098701771917,0.13192138846474596,0.36956803810087235,0.23790812999607278,0.3821260584375499,0.2495703800765156,0.1250000014901161,0.09789450154464453,0.26999999694526194,0.3529242818756547,0.005000000074505806,0.015811388536449943,,,,,,,,
original,0.01,0.28398063794940376,0.1858341499592186,0.3247430588990171,0.2399848757599773,0.3360700781112577,0.2369611059755472,0.005200952875182274,0.13768676871658442,0.36951770652362526,0.23686505464421387,0.3843713933379364,0.2453004225093876,0.1250000014901161,0.11118053282528953,0.24000000059604645,0.33648509659729275,0.010000000149011612,0.021081851381933255,,,,,,,,
original,0.05,0.2926238681702978,0.18724031528628451,0.3399949133181359,0.23638647175053135,0.34431500159454564,0.23314523095636952,0.010701245803361837,0.13423607837981286,0.3780838918302074,0.24275729728714562,0.39002428830523794,0.24492645684264705,0.07000000216066837,0.09775252573395816,0.14500000439584254,0.2650471733583853,0.010000000149011612,0.021081851381933255,,,,,,,,
original,0.1,0.2907869910841911,0.1811178338299398,0.3416834362668043,0.22580468529976525,0.35304125907018713,0.23033749857175218,-0.004726593226042563,0.15032865740729512,0.3790986241562124,0.237017490754116,0.38483822915379406,0.24557114932450128,0.030000000819563867,0.053748386713701135,0.12500000186264515,0.2508319527925608,0.010000000149011612,0.021081851381933255,,,,,,,,
original,0.5,0.3020517608022474,0.14238654178134635,0.3777172731890713,0.16260467318912056,0.39145649486941964,0.16214881215882865,-0.03403299944256046,0.17112367781490395,0.38020414539454017,0.19462488035093944,0.3949138900007661,0.20741943832651474,0.05000000111758709,0.05773502849621398,0.04500000067055225,0.0864420173418435,0.010000000149011612,0.021081851381933255,,,,,,,,
original,1.0,0.3299438791837986,0.12640862780119283,0.4163584287674934,0.12722286129973634,0.4035639072806349,0.14744003539883072,-0.03592272507289098,0.1841393513576154,0.4299617137683246,0.17422926479089507,0.4357580711754309,0.17043509137054777,0.010000000149011612,0.031622777072899885,0.030000001192092896,0.09486833357478011,0.010000000149011612,0.021081851381933255,,,,,,,,
