Seed,Model,Train R²,Test R²,Train MSE,Test MSE,Train MAE,Test MAE,Predictions,Training_History
42,Linear Regression,0.613853571638926,-0.0294708174637754,0.386146428361074,0.7348678314804981,0.48890437031128575,0.6911076439128545,,
42,Ridge Regression,0.61312648023333,0.004730984462804666,0.38687351976667,0.7064800447057642,0.4873026572961566,0.6772694362984174,,
42,Lasso Regression,0.5253151829690189,0.045410290735819814,0.474684817030981,0.6509097230168536,0.5138781643641102,0.6171448690215644,,
42,Elastic Net,0.5752646401660851,0.08555942309406517,0.42473535983391475,0.629394733413211,0.49324284384064027,0.6217725001147703,,
42,Random Forest,0.9140439413266007,0.23378329554088756,0.0859560586733993,0.566943805879906,0.20642291891941533,0.5094487333225973,,
42,Extra Trees,1.0,0.23308026597298576,2.0145740758040785e-30,0.5515235375329467,9.593105672756546e-16,0.49010522892738645,,
42,Gradient Boosting,0.9996077514852754,0.19638733002794334,0.000392248514724563,0.582923690624198,0.01506580267288391,0.46442488284115707,,
42,Support Vector Regression,0.798321197733591,0.3935724626406149,0.20167880226640902,0.45146649962164326,0.26469633244244395,0.43626915387854376,,
42,K-Nearest Neighbors,0.6310368136000408,0.18526089242853744,0.3689631863999593,0.5541863478682527,0.4734774359967364,0.5418974712273477,,
42,Decision Tree,1.0,-0.012732488895115135,0.0,0.7461960465853203,0.0,0.5192987002375616,,
42,TabNet,0.12569225574322657,0.19502466031573365,0.8743077442567733,0.5793575485330092,0.6293078179083126,0.5606355833355107,,
